name,type,sku,image_url,description,quantity,price
"Wireless Mouse","Electronics","WM-1025-BLK","https://example.com/images/mouse.jpg","A responsive wireless mouse.",150,24.99
"Gaming Keyboard","Electronics","GK-2030-RGB","https://example.com/images/keyboard.jpg","Mechanical keyboard with RGB backlighting.",80,89.99
"USB-C Hub","Accessories","UCH-005-GRY","https://example.com/images/hub.jpg","A 7-in-1 USB-C hub with HDMI and SD card reader.",200,45.50
"4K Webcam","Electronics","WC-4000-HD","https://example.com/images/webcam.jpg","Ultra HD 4K webcam with a built-in privacy shutter.",120,65.00
"Ergonomic Office Chair","Office Supplies","EOC-550-BLK","https://example.com/images/chair.jpg","Comfortable chair with lumbar support for all-day use.",50,179.99
"27-inch IPS Monitor","Electronics","MON-27-IPS","https://example.com/images/monitor.jpg","A vibrant 27-inch monitor with thin bezels.",95,299.99
"Noise-Cancelling Headphones","Electronics","NCH-700-SLV","https://example.com/images/headphones.jpg","Over-ear headphones with active noise cancellation.",110,249.00
"Portable SSD 1TB","Accessories","SSD-P10-BLK","https://example.com/images/ssd.jpg","A fast and durable 1TB portable solid-state drive.",75,119.99
"Smart LED Light Bulb","Home Goods","SLB-E27-WHT","https://example.com/images/bulb.jpg","A Wi-Fi enabled, color-changing smart bulb.",350,14.99
"Leather-bound Journal","Office Supplies","LBJ-A5-BRN","https://example.com/images/journal.jpg","A premium A5 journal with 200 lined pages.",250,19.95
"Cotton Graphic T-Shirt","Apparel","TSH-GPH-MD","https://example.com/images/tshirt.jpg","A soft 100% cotton t-shirt with a modern design.",300,29.99
"Stainless Steel Water Bottle","Home Goods","SSW-B24-BLU","https://example.com/images/bottle.jpg","A 24oz insulated water bottle that keeps drinks cold.",400,22.50
"Bluetooth Speaker","Electronics","BTS-P30-RED","https://example.com/images/speaker.jpg","A compact and waterproof portable Bluetooth speaker.",180,39.99
"Laptop Stand","Accessories","LPS-ADJ-ALU","https://example.com/images/stand.jpg","An adjustable aluminum laptop stand for better ergonomics.",130,34.95
"Automatic Coffee Maker","Home Goods","ACM-12C-BLK","https://example.com/images/coffeemaker.jpg","A 12-cup programmable drip coffee maker.",60,59.99
"The Art of Programming","Books","BK-CS-978","https://example.com/images/book.jpg","A comprehensive guide to software development principles.",150,49.99
"Wool Blend Beanie","Apparel","WBN-OS-GRY","https://example.com/images/beanie.jpg","A warm and stylish beanie for cold weather.",220,18.00
"Desk Organizer","Office Supplies","DO-WD-NAT","https://example.com/images/organizer.jpg","A wooden desk organizer with multiple compartments.",170,28.50
"Fast Wireless Charger","Accessories","FWC-15W-BLK","https://example.com/images/charger.jpg","A 15W Qi-certified fast wireless charging pad.",210,25.99
"High-Speed Blender","Home Goods","HSB-64-SLV","https://example.com/images/blender.jpg","A powerful blender for smoothies, soups, and more.",45,129.00
"Gaming Mousepad","Accessories","GMP-XL-BLK","https://example.com/images/mousepad.jpg","An extra-large gaming mousepad with a non-slip base.",300,21.99
"Smart Wi-Fi Plug","Home Goods","SWP-2PK-WHT","https://example.com/images/plug.jpg","Control any outlet with your voice or phone. 2-pack.",450,19.99
"Fleece Zip-Up Hoodie","Apparel","FZH-LG-NVY","https://example.com/images/hoodie.jpg","A comfortable fleece hoodie with a full-zip front.",140,49.99
"Gel Pen Set","Office Supplies","GPS-12-CLR","https://example.com/images/pens.jpg","A set of 12 vibrant gel pens for writing and drawing.",500,12.50
"Smartphone Tripod","Accessories","SPT-FLX-BLK","https://example.com/images/tripod.jpg","A flexible tripod for smartphones with a remote shutter.",160,23.99
"Yoga Mat","Home Goods","YGM-PRM-PPL","https://example.com/images/yogamat.jpg","An extra-thick, non-slip yoga mat for exercise.",190,32.00
